node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
GRPEL1,TIMM10,9606.ENSP00000264954,9606.ENSP00000257245,0,0,0,0,529,0,540,803,953
GRPEL1,TIMM8B,9606.ENSP00000264954,9606.ENSP00000438455,0,0,0,0,201,54,0,290,417
GRPEL1,PITRM1,9606.ENSP00000264954,9606.ENSP00000370377,45,0,0,0,62,340,0,227,481
GRPEL1,NDUFB9,9606.ENSP00000264954,9606.ENSP00000276689,0,0,0,0,151,0,0,546,598
GRPEL1,TOMM70A,9606.ENSP00000264954,9606.ENSP00000284320,0,0,0,0,67,0,0,737,744
GRPEL1,HYOU1,9606.ENSP00000264954,9606.ENSP00000480150,68,0,0,0,229,323,0,541,746
GRPEL1,PMPCA,9606.ENSP00000264954,9606.ENSP00000360782,0,0,0,0,88,0,900,95,910
GTF2F2,TCEB2,9606.ENSP00000340823,9606.ENSP00000262306,0,0,0,0,46,0,900,405,938
GTF2F2,PPIL3,9606.ENSP00000340823,9606.ENSP00000286175,0,0,0,0,78,0,900,0,903
GTF2F2,HNRNPUL1,9606.ENSP00000340823,9606.ENSP00000375863,0,0,0,0,81,0,900,0,904
HDAC2,TLE1,9606.ENSP00000430432,9606.ENSP00000365682,0,0,0,0,63,411,0,226,535
HDAC2,WHSC1,9606.ENSP00000430432,9606.ENSP00000372351,43,0,0,0,65,472,0,300,625
HDAC2,SIRT5,9606.ENSP00000430432,9606.ENSP00000476228,0,0,0,0,62,268,0,763,823
HEATR3,RRP9,9606.ENSP00000299192,9606.ENSP00000232888,0,0,0,0,481,0,0,0,481
HEATR3,TARS2,9606.ENSP00000299192,9606.ENSP00000358060,0,0,0,0,64,0,0,390,405
HMOX1,STC2,9606.ENSP00000216117,9606.ENSP00000265087,0,0,0,0,0,0,0,473,473
HNRNPUL1,NUTF2,9606.ENSP00000375863,9606.ENSP00000219169,0,0,0,0,42,0,0,622,622
HNRNPUL1,PPIL3,9606.ENSP00000375863,9606.ENSP00000286175,0,0,0,0,0,0,900,0,900
HSBP1,STOML2,9606.ENSP00000392896,9606.ENSP00000348886,0,0,0,0,0,0,0,654,654
HYOU1,P4HB,9606.ENSP00000480150,9606.ENSP00000327801,0,0,0,0,689,261,360,726,954
HYOU1,UGGT2,9606.ENSP00000480150,9606.ENSP00000365938,0,0,0,0,188,185,0,291,490
